title,author,average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,year
Philosophical Papers: Volume 1  Human Agency and Language,Charles Taylor,4.35,9780521317504,eng,304.0,52,1,Cambridge University Press,1985
Next,Michael Crichton,3.5,9780060872984,eng,431.0,59354,2540,Harper,2006
Shoofly Pie (Bug Man  #1),Tim Downs,4.18,9781582293080,eng,371.0,1425,130,Howard Books,2003
Selected Philosophical Writings,Thomas Aquinas,3.86,9780192835857,eng,496.0,238,9,Oxford University Press,1998
The Confessions (Works of Saint Augustine 1),Augustine of Hippo,3.92,9781565480841,eng,416.0,142,24,New City Press,2002
Great Short Works of Herman Melville,Herman Melville,4.04,9780060586546,eng,512.0,424,13,Harper Perennial Modern Classics,2004
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,Arielle Ford,4.08,9780452282179,en-US,412.0,38,4,Plume,2001
Sun Tzu: The Art of War for Managers; 50 Strategic Rules,Sun Tzu,3.8,9781580624596,eng,224.0,316,12,Adams Media,2001
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,9780618212903,eng,192.0,26153,102,Houghton Mifflin Harcourt,2002
Travels of Marco Polo,Marco Polo,3.58,9780451529510,eng,297.0,68,16,Signet,2004
American Splendor: Another Day,Harvey Pekar,3.71,9781401212353,en-US,136.0,349,28,Vertigo,2007
Data Structures and Algorithm Analysis in C,Mark Allen Weiss,3.85,9780201498400,eng,528.0,120,11,Pearson,1996
The Comfort of Strangers,Ian McEwan,3.41,9780679749844,eng,128.0,11116,836,Anchor,1994
The Walking Dead  Book One (The Walking Dead #1-12),Robert Kirkman,4.35,9781582406190,eng,304.0,34751,1346,Image Comics,2010
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,9781400032716,eng,226.0,1054308,35537,Vintage,2004
The Illustrated Hitchhiker's Guide To The Galaxy,Douglas Adams,4.35,9780517599242,eng,96.0,294,19,Harmony,1994
Saints,Orson Scott Card,3.54,9780312876067,eng,608.0,2436,268,Forge Books,2001
Pride and Prejudice,Jane Austen,4.26,9780192802385,eng,333.0,2399,253,Oxford University Press,2004
This Is Push: New Stories from the Edge,David Levithan,3.63,9780439890281,eng,240.0,223,23,Push,2007
Demons Are Forever (Demon-Hunting Soccer Mom  #3),Julie Kenner,3.89,9780425215388,eng,292.0,2368,162,Berkley Publishing Group,2007
The Eternal Champion (Eternal Champion  #1),Michael Moorcock,3.95,9781565041912,eng,484.0,2524,40,White Wolf Games Studio,1996
The Dark Descent  Vol 1: The Color of Evil,David G. Hartwell,4.12,9780246136671,eng,304.0,2,0,Grafton,1990
The Time Machine,H.G. Wells,3.89,9780141439976,eng,104.0,3094,301,Penguin Books Ltd,2005
Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,3.93,9780375705243,eng,290.0,37996,1631,BALLANTINE BOOKS,2002
The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,Laurie Notaro,3.88,9780375760914,en-GB,225.0,16133,1099,Villard,2002
Eat  Pray  Love,Elizabeth Gilbert,3.55,9780143038412,eng,368.0,1362264,47620,Riverhead Books,2007
La Emperatriz tras el velo (Trilogía Taj Mahal  #1),Indu Sundaresan,4.04,9788425337604,spa,382.0,2,1,Grijalbo Mondadori Sa,2003
Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer,4.61,9781931082631,eng,915.0,23,4,Library of America,2004
Nightfall,Anne Stuart,3.87,9780451404756,eng,416.0,981,106,Onyx,1995
The Sword and the Shield: The Mitrokhin Archive & the Secret History of the KGB,Christopher M. Andrew,3.93,9780465003129,en-US,736.0,1170,82,Basic Books,2000
The Pretender (Liar's Club  #1),Celeste Bradley,3.98,9780312984854,en-GB,358.0,2241,106,St. Martin's Paperbacks,2003
Divide and Conquer (Tom Clancy's Op-Center  #7),Jeff Rovin,3.8,9780425174807,eng,372.0,2560,30,Berkley,2000
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.22,9780141187068,en-GB,420.0,809,74,Penguin Books,2002
Ivanhoe,Walter Scott,3.75,9780140436587,eng,541.0,73757,1571,Penguin Books ,2000
Black Hole  tome 3: Visions,Charles Burns,4.0,9782840555520,,63.0,3,0,Delcourt,2001
Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3),Rumiko Takahashi,3.88,9781569312063,eng,192.0,69,1,Viz Media,1997
鋼之鍊金術師 9,Hiromu Arakawa,4.57,9789861156521,,184.0,4,0,東立,2004
The Bone Collector's Son,Paul Yee,3.27,9780761452423,eng,137.0,117,19,Two Lions,2004
Farmer Boy (Little House  #2),Laura Ingalls Wilder,4.07,9780060885380,eng,357.0,45778,1286,HarperTrophy,2007
My Wicked Pirate,Rona Sharon,3.9,9780821780572,eng,432.0,502,33,Zebra,2006
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,9780439321624,eng,240.0,11515,139,Arthur A. Levine,2001
Hell Phone,William Sleator,3.5,9780810954793,en-US,252.0,570,88,Harry N. Abrams,2006
La casa de los espíritus,Isabel Allende,4.23,9780060951306,spa,454.0,608,38,HarperCollins Espanol,2001
Star Trek: Logs One and Two (Star Trek: Log  #1-2),Alan Dean Foster,3.46,9780345495815,eng,370.0,58,4,Del Rey Books,2006
By the Sword (Valdemar),Mercedes Lackey,4.25,9780886774639,eng,492.0,18531,249,DAW,1991
Janet  My Mother and Me: A Memoir of Growing Up with Janet Flanner and Natalia Danesi Murray,William Murray,3.5,9780684809663,eng,320.0,36,8,Simon & Schuster,2000
Democracy in America,Alexis de Tocqueville,4.02,9780226805368,eng,722.0,390,40,University of Chicago Press,2002
Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP,4.29,9780345484307,eng,184.0,2765,38,Del Rey,2006
Also sprach Zarathustra: Ein Buch für Alle und Keinen.,Friedrich Nietzsche,4.06,9783379017060,ger,371.0,2,0,Reclam  Leipzig,2000
Looking Awry: An Introduction to Jacques Lacan through Popular Culture,Slavoj Žižek,4.04,9780262740159,eng,188.0,1316,51,MIT Press,1992
You Shall Know Our Velocity,Dave Eggers,3.63,9780141013459,eng,350.0,266,24,Penguin,2004
The Forsaken (Vampire Huntress  #7),L.A. Banks,4.35,9780312352356,eng,448.0,1878,36,St. Martin's Griffin,2006
Six Degrees of Separation,John Guare,4.0,9780822210344,eng,74.0,242,14,Dramatists Play Service,1995
The Church in Ancient Society: From Galilee to Gregory the Great (History of the Christian Church),Henry Chadwick,4.19,9780199265770,en-GB,744.0,15,1,OUP Oxford,2003
Count Zero (Sprawl  #2),William Gibson,4.01,9780441013678,en-US,308.0,37360,799,Ace Books,2006
True Blue: The Oxford Boat Race Mutiny,Daniel Topolski,4.24,9780553400038,en-US,320.0,69,13,Bantam,1990
Collected Essays: Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name in the Street / The Devil Finds Work / Other Essays,James Baldwin,4.61,9781883011529,eng,869.0,1495,75,Library of America (NY),1998
The Big Money (U.S.A.  #3),John Dos Passos,4.03,9780618056835,en-US,464.0,2090,123,Mariner Books,2000
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,4.33,9780553351392,eng,160.0,25071,1156,Bantam,1992
Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl,4.08,9780141311425,eng,209.0,17327,992,Puffin,2001
The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,3.5,9781903582411,eng,212.0,4,0,Merlin Publishing,2003
Siddhartha,Hermann Hesse,4.02,9780142437186,eng,132.0,1104,114,Penguin Books,2002
On Beauty,Zadie Smith,3.73,9780143037743,eng,445.0,53736,3657,Penguin Books,2006
Romanee Conti: The World's Most Fabled Wine,Richard Olney,3.75,9780847819270,eng,208.0,20,1,Rizzoli International Publications,1995
Midnight's Children,Salman Rushdie,3.98,9780099578512,eng,647.0,87463,4469,Vintage,1995
The Elf Queen of Shannara (Heritage of Shannara  #3),Terry Brooks,4.04,9781857238273,eng,416.0,26676,188,Orbit,1998
Ya Sé Que Te Quiero,Billy Crystal,4.19,9780060845988,spa,40.0,0,0,Rayo,2006
Warrior Angel,Margaret Weis,3.15,9780060833251,en-US,354.0,242,28,Avon,2007
Lipstick Jungle,Candace Bushnell,3.41,9780786893966,eng,532.0,422,48,Hachette Books,2007
A Day in the Life: The Music and Artistry of the Beatles,Mark Hertsgaard,4.16,9780385315173,eng,448.0,1116,46,Delta,1996
Poor People,William T. Vollmann,3.72,9780060878825,eng,434.0,769,139,Ecco,2007
The Essential Neruda: Selected Poems,Pablo Neruda,4.46,9780872864283,eng,200.0,5149,210,City Lights Publishers,2004
Lurulu,Jack Vance,3.59,9780312872793,en-US,204.0,276,20,Tor Books,2007
Thank You for Smoking,Christopher Buckley,3.93,9780812976526,eng,272.0,9900,561,Random House Trade Paperbacks,2006
The Silmarillion,J.R.R. Tolkien,3.92,9780048231536,eng,441.0,368,44,Unwin Paperbacks,1979
The Iliad,Homer,3.86,9780471377580,eng,150.0,3834,134,John Wiley & Sons,1999
Stowaway and Milk Run: Two Unabridged Stories From Mary Higgins Clark,Mary Higgins Clark,3.49,9780671046248,eng,,64,2,Simon & Schuster Audio,1999
Julius Caesar,William Shakespeare,3.68,9780521535137,eng,226.0,51,2,Cambridge University Press,2004
The Silmarillion,J.R.R. Tolkien,3.92,9780618391110,eng,386.0,166136,4750,Houghton Mifflin Company,2004
Accidental Empires,Robert X. Cringely,4.01,9780887308550,eng,384.0,1570,63,Harper Business,1996
Secretos De Familia,Julia Glass,3.57,9788496525030,spa,528.0,0,1,Puzzle-Roca,2006
La Maison des feuilles,Mark Z. Danielewski,4.1,9782207252000,,978.0,79,13,Denoël,2002
The Best American Travel Writing 2006,Tim Cahill,3.94,9780618582150,eng,352.0,492,47,Mariner Books,2006
What Work Is,Philip Levine,4.27,9780679740582,eng,77.0,2102,90,Knopf,1992
On the Origins of War and the Preservation of Peace,Donald Kagan,4.01,9780385423755,eng,573.0,520,30,Anchor,1996
James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,James Herriot,4.45,9780312085124,eng,260.0,10128,245,St. Martin's Press,1992
We Thought You Would Be Prettier: True Tales of the Dorkiest Girl Alive,Laurie Notaro,3.92,9780812969016,eng,223.0,10040,439,Villard,2005
Latitude and Longitude (Rookie Read-About Geography),Rebecca Aberg,3.53,9780516277653,eng,32.0,1,0,Children's Press(CT),2003
A Long Way from Chicago (A Long Way from Chicago  #1),Richard Peck,3.94,9780142401101,eng,160.0,30141,2106,Puffin Books,2004
Conrad's Fate (Chrestomanci  #5),Diana Wynne Jones,4.05,9780060747459,eng,400.0,8080,336,Greenwillow Books,2006
Cosmopolis,Don DeLillo,3.22,9780743244251,eng,224.0,460,41,Scribner,2004
The Ghost Stories of Edith Wharton,Edith Wharton,3.89,9780684842578,eng,303.0,2842,182,Scribner,1997
The Odyssey,Homer,3.76,9780060931957,eng,374.0,1131,78,Harper Perennial,1999
The Phantom Menace (Star Wars: Novelizations  #1),Terry Brooks,3.57,9780099409960,eng,336.0,13158,455,Arrow,2000
The Abyss,Orson Scott Card,4.07,9780099690603,eng,363.0,17911,111,Legend,1989
Timequake,Kurt Vonnegut Jr.,3.72,9780099267546,eng,219.0,23527,822,Vintage Classics,1998
Thin Air (Weather Warden  #6),Rachel Caine,3.96,9780451461636,eng,307.0,5875,182,Roc,2007
The Tent,Margaret Atwood,3.7,9780385516686,eng,159.0,5061,519,Nan A. Talese,2006
The Elephant Vanishes,Haruki Murakami,3.86,9780099448754,eng,327.0,1299,128,Vintage Books,2003
Julius Knipl  Real Estate Photographer: The Beauty Supply District,Ben Katchor,4.35,9780375700989,eng,120.0,174,16,Pantheon,2003
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,9780742508804,eng,224.0,16,4,Rowman & Littlefield Publishers,2000
The Divine Comedy  Vol. 2: Purgatory,Dante Alighieri,4.02,9780140444421,eng,399.0,764,49,Penguin Classics,1985
Anton Chekhov's Selected Plays,Anton Chekhov,4.01,9780393924657,eng,674.0,97,10,W. W. Norton & Company,2004
Anastasia on Her Own (Anastasia Krupnik  #5),Lois Lowry,3.9,9780440402916,eng,160.0,1521,44,Yearling Books,1986
History of Political Philosophy,Leo Strauss,4.17,9780226777108,eng,980.0,441,27,University of Chicago Press,1987
Exile's Children (Exiles  #1),Angus Wells,3.54,9780553299038,eng,688.0,122,5,Spectra,1996
Demon Diary  Volume 04,Kara,4.1,9781591821571,eng,192.0,1182,15,TokyoPop,2003
Hell House,Richard Matheson,3.79,9780727860996,eng,301.0,29779,1488,Severn House Publishers,2004
Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,Richard H. Minear,4.16,9781565847040,eng,272.0,1282,102,The New Press,2001
A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,3.8,9780415267632,eng,328.0,348,23,Routledge,2001
Spook Country (Blue Ant  #2),William Gibson,3.69,9780399154300,eng,371.0,16342,1258,Putnam Adult,2007
The Impostor (Liar's Club  #2),Celeste Bradley,3.91,9780312984861,eng,369.0,1356,69,St. Martin's Paperbacks,2003
Hafen des Unglücks (Aubrey/Maturin Book 11),Patrick O'Brian,4.41,9783548256429,ger,354.0,6,0,Ullstein Buchverlage GmbH & Co. KG ,2002
Hard Eight (Stephanie Plum  #8),Janet Evanovich,4.17,9780747267621,eng,339.0,155,13,Headline Review,2003
La Dame aux Camélias,Alexandre Dumas fils,3.99,9780192836380,eng,256.0,15211,411,Oxford University Press,2000
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,4.16,9780312291563,eng,256.0,216,25,St. Martin's Griffin,2002
Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of our Times,George Crile,4.01,9780802141248,eng,560.0,6049,648,Grove Press,2004
Teleportation: From Star Trek to Tesla,Commander X,2.83,9781892062437,eng,139.0,2,1,Inner Light - Global Communications,2012
On Duties (De Officiis),Marcus Tullius Cicero,3.96,9780674990333,eng,448.0,111,11,Harvard University Press,1913
A Little Prairie House,Laura Ingalls Wilder,4.19,9780064435260,eng,32.0,1561,45,HarperCollins,1999
The Physics of Star Trek,Lawrence M. Krauss,3.83,9780060977108,eng,188.0,4774,178,ReganBooks,1996
Homer's Daughter,Robert Graves,3.81,9780897330596,en-US,283.0,416,34,Academy Chicago Publishers,2005
Devilish,Maureen Johnson,3.46,9781595140609,eng,263.0,4782,463,Razorbill,2006
Poems Between Women: Four Centuries of Love  Romantic Friendship  and Desire,Emma Donoghue,3.88,9780231109253,en-US,256.0,68,4,Columbia University Press,1999
Collected Stories,Tennessee Williams,4.31,9780811212694,eng,608.0,642,46,New Directions,1994
Writings 1902-1910: The Varieties of Religious Experience / Pragmatism / A Pluralistic Universe / The Meaning of Truth / Some Problems of Philosophy / Essays,William  James,4.21,9780940450387,eng,1379.0,372,11,Library of America,1988
A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell,4.26,9780764226465,eng,303.0,175,18,Bethany House Publishers,2003
Faust  Part One,Johann Wolfgang von Goethe,3.93,9780192835956,en-US,240.0,1783,67,Oxford University Press  USA,1998
A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell,4.29,9780226677163,eng,722.0,1237,87,University of Chicago Press,1995
犬夜叉 17,Rumiko Takahashi,4.25,9784091255877,jpn,192.0,14,1,小学館,2000
A Room of One's Own,Virginia Woolf,4.14,9780156030410,en-US,112.0,878,81,Mariner Books,2005
The Handmaid's Tale,Margaret Atwood,4.11,9780435124090,en-GB,308.0,529,59,Heinemann Library,2009
The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),Terry Pratchett,4.07,9780060094935,eng,502.0,5761,191,HarperCollins,2003
Los hermanos Karamazov,Fyodor Dostoyevsky,4.32,9788476405093,spa,805.0,30,4,Edaf S.A.,1999
Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),Hirohiko Araki,4.41,9782290328057,,189.0,4,2,J'ai lu,2003
In Conquest Born (In Conquest Born  #1),C.S. Friedman,3.88,9780756400439,eng,530.0,2467,132,DAW,2001
Star Wars: The Ultimate Visual Guide,Daniel  Wallace,4.33,9780756630522,eng,160.0,945,17,DK Children,2007
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide  #1),Douglas Adams,4.22,9781400052936,eng,271.0,212,18,Crown Publishing Group (NY),2004
II Maccabees,Anonymous,4.04,9780385048644,eng,595.0,24,2,Anchor Bible,1983
War Comes to Willy Freeman (Arabus Family Saga  #1),James Lincoln Collier,3.59,9780440495048,eng,192.0,258,53,Yearling,1987
The Sagittarius Whorl (Rampart Worlds #3),Julian May,3.75,9780345395184,eng,384.0,339,4,Del Rey Books,2001
Drop Dead Gorgeous (Blair Mallory  #2),Linda Howard,3.93,9780345486585,eng,347.0,7227,301,Ballantine Books,2006
The Sun in the Morning: My Early Years in India and England,M.M. Kaye,4.22,9780312049997,en-US,454.0,249,39,St. Martin's Press,1990
Time of the Twins (Dragonlance: Legends  #1),Margaret Weis,4.15,9780786931583,eng,389.0,28217,298,Wizards of the Coast,2004
First King of Shannara (The Original Shannara Trilogy #0),Terry Brooks,3.96,9780345396532,eng,435.0,864,55,Del Rey,1997
O Historiador,Elizabeth Kostova,3.78,9788573027105,,544.0,43,3,Suma de Letras Brasileiras,2005
The Lost Years of Merlin,T.A. Barron,3.98,9780441010288,eng,304.0,12117,452,Ace,2002
Reluctant Burglar (To Catch a Thief #1),Jill Elizabeth Nelson,3.67,9781590526866,en-US,345.0,177,27,Multnomah Books,2006
Spellbound (Once Upon  #1),Nora Roberts,3.8,9780515140774,eng,96.0,6798,162,Jove,2005
Rising from the Plains,John McPhee,4.23,9780374520656,eng,208.0,1341,98,Farrar  Straus and Giroux,1987
Not Even for Love,Erin St. Claire,3.49,9780446612913,eng,208.0,1705,95,Grand Central Publishing,2004
鋼之鍊金術師 6,Hiromu Arakawa,4.58,9789861146140,,191.0,5,0,東立,2004
The Face on the Milk Carton (Janie Johnson  #1),Caroline B. Cooney,3.73,9780385323284,eng,192.0,49975,2360,Delacorte Press,1996
The Missionary Position: Mother Teresa in Theory and Practice,Christopher Hitchens,4.06,9781859840542,eng,98.0,7240,571,Verso,1997
Traumjäger und Goldpfote,Tad Williams,3.97,9783596283491,ger,380.0,61,0,Fischer (Tb.),1989
Love Mode  Vol. 3,Yuki Shimizu,4.15,9781598160123,eng,184.0,585,14,Blu,2006
Forbidden Love (Sweet Valley High #34),Francine Pascal,3.32,9780553275216,eng,138.0,5,0,Bantam Books,1987
Barron's Book Notes: Lord of the Flies,Michael Spring,3.67,9780812034264,eng,120.0,6,0,Barron's Educational Series,1984
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Joel Salatin,4.01,9780963810946,eng,134.0,292,35,Polyface,2005
Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,Robert Sedgewick,4.16,785342314526,en-GB,720.0,140,3,Addison-Wesley Professional,1997
Three Plays,Luigi Pirandello,3.74,9780413575609,eng,200.0,7,0,Methuen Publishing,1985
The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics),Murasaki Shikibu,3.74,9784770027726,eng,238.0,46,5,Kodansha America,2001
The Best Short Stories,Fyodor Dostoyevsky,4.26,9780375756887,eng,320.0,2711,89,Modern Library,2001
Collected Stories,Gabriel García Márquez,4.19,9780060932688,eng,352.0,6375,179,Harper Perennial Modern Classics,2008
Alice's Adventures in Wonderland,Lewis Carroll,4.02,9781551112237,eng,356.0,73,8,Broadview Press Inc,2000
¡Horton escucha a quién!,Dr. Seuss,4.18,9781930332355,spa,64.0,29,4,Lectorum Publications,2003
The Pelican Brief,John Grisham,4.0,9780385339704,eng,400.0,340714,1942,Delta,2006
Argumentative Indian: Writings On Indian History Culture And Identity,Amartya Sen,3.8,9780713996876,eng,391.0,29,7,Allen Lane,2005
Woody Allen and Philosophy: [You Mean My Whole Fallacy Is Wrong?],Mark T. Conard,3.75,9780812694536,eng,250.0,293,9,Open Court,2004
犬夜叉 22,Rumiko Takahashi,4.25,9784091256423,jpn,192.0,13,1,小学館,2001
The Trail of Tears,Joseph Bruchac,3.91,9780679890522,eng,48.0,170,31,Random House Books for Young Readers,1999
The Good  the Bad  and the Undead (The Hollows  #2),Kim Harrison,4.26,9780060572976,eng,453.0,54083,1602,HarperTorch,2005
The Eclogues and The Georgics,Virgil,3.8,9780192837684,eng,180.0,259,15,Oxford University Press,1999
Eva Hesse Drawing,Catherine de Zegher,4.55,9780300116182,eng,344.0,51,6,Yale University Press,2006
The Scarlet Pimpernel,Emmuska Orczy,4.07,9780743487740,en-US,358.0,348,67,Simon  Schuster,2004
Men Are from Mars  Women Are from Venus,John Gray,3.55,9780060574215,eng,368.0,132062,3303,Harper Paperbacks,2012
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,9780060838584,eng,399.0,190039,4922,Harper Perennial,2005
Novels  1926-1929,William Faulkner,4.42,9781931082891,eng,1180.0,199,13,Library of America,2006
Error humano,Chuck Palahniuk,3.57,9788439711865,spa,253.0,11,1,Mondadori,2005
The Perfect Wife,Lynsay Sands,3.86,9780843954999,eng,354.0,2712,131,Leisure Books,2005
Matilda,Roald Dahl,4.31,9780141301068,eng,240.0,541914,11576,Puffin Books,1998
Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward,4.09,9780553381412,eng,304.0,1570,64,Bantam,2002
Finnegan's Week,Joseph Wambaugh,3.63,9780553763249,eng,352.0,561,42,Bantam,1995
Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy,3.2,9780590209342,eng,64.0,5,1,Scholastic,1998
Omerta,Mario Puzo,3.71,9780345432407,eng,369.0,12374,330,Ballantine Books,2001
Downfall (Dragonlance: Dhamon Saga  #1),Jean Rabe,3.68,9780786918140,eng,397.0,878,9,Wizards of the Coast,2001
The World of Jules Verne,Gonzague Saint Bris,4.0,9781885586421,eng,85.0,3,1,Helen Marx Books,2006
The Way by Swann’s  (In Search of Lost Time #1),Marcel Proust,4.14,9780141180311,eng,489.0,318,52,Penguin Classics,2003
Air Gear  Vol. 2 (Air Gear  #2),Oh! Great,4.04,9780345492791,eng,224.0,686,8,Del Rey,2006
Cookies: Bite-Size Life Lessons,Amy Krouse Rosenthal,4.18,9780060580810,eng,40.0,1162,185,HarperCollins,2006
Two for the Dough (Stephanie Plum  #2),Janet Evanovich,4.11,9780312948962,en-US,325.0,2509,292,St. Martin's Press,2007
Where or When,Anita Shreve,3.3,9780156031271,eng,241.0,6343,551,Mariner Books,2005
Tuscan Countess: The Life and Extraordinary Times of Matilda of Canossa,Michele K. Spike,3.68,9780865652422,eng,312.0,51,10,Vendome Press,2004
La reina de los condenados (Crónicas Vampíricas  #3),Anne Rice,3.89,9788466617116,spa,725.0,287,19,Byblos,2007
Talk Talk,T. Coraghessan Boyle,3.42,9780670037704,en-US,340.0,4094,497,Viking Books,2006
The Major Plays,Anton Chekhov,4.18,9780451530370,eng,406.0,102,16,Signet,2006
Deerskin,Robin McKinley,3.89,9780441012398,en-US,384.0,17485,1021,Ace Books,2005
Stargirl LitPlans on CD,Mary B. Collins,4.86,9781583372920,eng,210.0,5,0,Teacher's Pet Publications,2005
Must Love Dragons (Immortally Sexy  #2),Stephanie Rowe,3.98,9780446617673,en-US,342.0,1740,77,Warner Forever,2006
Night Beat: A Shadow History of Rock & Roll,Mikal Gilmore,3.74,9780385484367,en-US,496.0,67,8,Knopf Publishing Group,1999
Les jeux sont faits,Jean-Paul Sartre,3.96,9782070394821,,165.0,1951,77,Gallimard Education,1996
Don't Stop the Carnival,Herman Wouk,3.93,9780316955126,eng,416.0,2700,298,Back Bay Books,1992
The Opposite of Fate,Amy Tan,3.92,9780007170401,eng,398.0,172,11,Harper Perennial,2004
Gone for Soldiers: A Novel of the Mexican War,Jeff Shaara,4.14,9780345427519,eng,424.0,191,18,Ballantine Books,2001
Vinyl Cafe Coast to Coast Story Service,Stuart McLean,4.45,9780968303184,eng,3.0,51,1,Canadian Broadcasting Corporation (CBC Audio),2005
The Umbrella of US Power: The Universal Declaration of Human Rights & the Contradictions of US Policy,Noam Chomsky,3.96,9781583225479,en-US,80.0,155,7,Seven Stories Press,2002
